SCORE:,total_score,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,yhh_planarity,description
SCORE:,-815.289,-5.726,-1581.4279999999999,356.44199999999995,-480.593,3.2880000000000003,52.372,191.266,888.694,-63.073,-127.443,-44.372,-34.667,-35.544000000000004,23.199,-62.672,1.4069999999999998,6.166,97.055,0.34,aflibercept_input_0039_0001_0007
SCORE:,-811.6419999999999,-5.555,-1589.906,363.086,-480.216,3.343,52.907,194.101,887.7710000000001,-64.4,-128.22,-41.751999999999995,-34.472,-36.948,24.013,-61.974,1.524,7.707999999999999,97.055,0.293,aflibercept_input_0039_0001_0004
SCORE:,-807.58,-5.502999999999999,-1586.985,367.707,-479.102,3.3489999999999998,54.35,192.28599999999997,885.5,-65.806,-126.79,-45.236999999999995,-35.025999999999996,-35.826,24.239,-61.39,1.499,7.767,97.055,0.33299999999999996,aflibercept_input_0039_0001_0009
SCORE:,-814.427,-5.55,-1596.1760000000002,365.44599999999997,-478.168,3.358,54.192,193.683,889.413,-65.88600000000001,-127.251,-43.111000000000004,-34.589,-36.38,24.000999999999998,-62.871,1.51,6.567,97.055,0.32899999999999996,aflibercept_input_0039_0001_0008
SCORE:,-820.442,-5.5889999999999995,-1593.445,358.496,-479.223,3.332,54.17,191.84599999999998,892.799,-66.437,-127.355,-44.508,-34.388000000000005,-35.086999999999996,22.877,-62.303000000000004,1.436,5.525,97.055,0.355,aflibercept_input_0039_0001_0010
SCORE:,-781.302,-5.882999999999999,-1585.0,359.851,-478.52,3.325,52.501999999999995,197.44099999999997,899.33,-60.033,-124.19,-42.24100000000001,-34.082,-33.647,22.814,-65.628,1.4080000000000001,13.869000000000002,97.055,0.32799999999999996,aflibercept_input_0042_0002_0001
SCORE:,-778.8489999999999,-5.869,-1591.376,360.843,-478.972,3.315,52.534,197.422,904.9860000000001,-58.246,-125.605,-42.202,-33.641,-34.124,24.811999999999998,-64.747,1.361,13.300999999999998,97.055,0.304,aflibercept_input_0042_0002_0002
SCORE:,-774.107,-5.803999999999999,-1584.06,361.23699999999997,-477.246,3.3289999999999997,52.328,196.717,902.7660000000001,-60.31,-125.117,-43.498999999999995,-33.409,-33.251,24.541999999999998,-64.704,1.349,13.665,97.055,0.305,aflibercept_input_0042_0002_0003
SCORE:,-775.8810000000001,-5.76,-1591.3229999999999,358.49800000000005,-476.11199999999997,3.2969999999999997,52.486000000000004,198.799,904.591,-58.721000000000004,-125.729,-40.36,-32.696,-33.826,25.206999999999997,-64.835,1.399,11.804,97.055,0.34600000000000003,aflibercept_input_0042_0002_0004
SCORE:,-775.346,-5.696000000000001,-1588.529,361.542,-481.305,3.284,52.683,200.09,903.174,-56.798,-126.613,-42.916000000000004,-33.573,-33.95,25.211,-64.64399999999999,1.3619999999999999,13.977,97.055,0.303,aflibercept_input_0042_0002_0005
SCORE:,-771.811,-5.8629999999999995,-1591.287,368.509,-477.635,3.3360000000000003,52.81399999999999,199.43400000000003,900.875,-61.004,-124.53399999999999,-42.701,-33.749,-32.575,24.677,-64.77,1.3419999999999999,13.972999999999999,97.055,0.29100000000000004,aflibercept_input_0042_0002_0006
SCORE:,-779.0989999999999,-5.86,-1587.017,360.906,-481.115,3.3160000000000003,52.81399999999999,198.68400000000003,900.029,-59.50899999999999,-124.427,-42.908,-33.508,-33.123000000000005,25.006999999999998,-65.344,1.41,14.174000000000001,97.055,0.319,aflibercept_input_0042_0002_0007
SCORE:,-778.1,-5.812,-1589.912,363.71,-481.43699999999995,3.325,52.74100000000001,197.815,904.8760000000001,-60.332,-124.61399999999999,-44.381,-33.291,-32.288000000000004,24.499000000000002,-64.861,1.379,13.134,97.055,0.294,aflibercept_input_0042_0002_0008
SCORE:,-780.171,-5.858,-1586.513,358.42,-478.686,3.28,52.136,198.31900000000002,902.2810000000001,-59.401,-124.911,-43.618,-33.439,-34.223,24.878,-65.482,1.429,13.845,97.055,0.319,aflibercept_input_0042_0002_0009
